Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Month Name,Profit Margin
CA-2016-152156,08-11-2016,11-11-2016,Second Class,CG-12520,Claire Gute,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2.00,0.00,41.91,2016,November,0.16
CA-2016-138688,09-11-2016,16-06-2016,Second Class,DV-13045,Darrin Van Huff,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2.00,0.00,6.87,2016,November,0.47
US-2015-108966,10-11-2016,18-10-2015,Standard Class,SO-20335,Sean O'Donnell,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5.00,0.45,-383.03,2016,November,-0.4
CA-2014-115812,11-11-2016,14-06-2014,Standard Class,BH-11710,Brosina Hoffman,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7.00,0.00,14.17,2016,November,0.29
CA-2017-114412,12-11-2016,20-04-2017,Standard Class,AA-10480,Andrew Allen,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,3.00,0.20,5.44,2016,November,0.35
CA-2016-161389,13-11-2016,10-12-2016,Standard Class,IM-15070,Irene Maddox,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3.00,0.20,132.59,2016,November,0.325
US-2015-118983,14-11-2016,26-11-2015,Standard Class,HP-14815,Harold Pawlan,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5.00,0.80,-123.86,2016,November,-1.8
CA-2014-105893,15-11-2016,18-11-2014,Standard Class,PK-19075,Pete Kriz,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6.00,0.00,13.32,2016,November,0.02
CA-2014-167164,16-11-2016,15-05-2014,Second Class,AG-10270,Alejandro Grove,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.50,2.00,0.00,9.99,2016,November,0.18
CA-2014-143336,17-11-2016,01-09-2014,Second Class,ZD-21925,Zuschuss Donatelli,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2.00,0.00,2.48,2016,November,0.29
CA-2016-137330,18-11-2016,13-12-2016,Standard Class,KB-16585,Ken Black,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7.00,0.00,5.06,2016,November,0.26
US-2017-156909,19-11-2016,18-07-2017,Second Class,SF-20065,Sandra Flanagan,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37,2.00,0.30,-1.02,2016,November,-0.014285714
CA-2015-106320,20-11-2016,30-09-2015,Standard Class,EB-13870,Emily Burns,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3.00,0.00,240.26,2016,November,0.23
CA-2016-121755,21-11-2016,20-01-2016,Second Class,EH-13945,Eric Hoffmann,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,2.00,0.20,4.22,2016,November,0.3625
US-2015-150630,22-11-2016,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7.00,0.50,-1665.05,2016,November,-0.54
CA-2017-107727,23-11-2016,23-10-2017,Second Class,MA-17560,Matt Abelman,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.47,3.00,0.20,9.95,2016,November,0.3375
CA-2016-117590,24-11-2016,10-12-2016,First Class,GH-14485,Gene Hale,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,7.00,0.20,123.47,2016,November,0.1125
CA-2015-117415,25-11-2016,31-12-2015,Standard Class,SN-20710,Steve Nguyen,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,9.00,0.20,35.42,2016,November,0.3125
CA-2017-120999,26-11-2016,15-09-2017,Standard Class,LC-16930,Linda Cazamias,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.17,4.00,0.20,16.56,2016,November,0.1125
CA-2016-101343,27-11-2016,22-07-2016,Standard Class,RA-19885,Ruben Ausman,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2.00,0.00,3.89,2016,November,0.05
CA-2017-139619,28-11-2016,23-09-2017,Standard Class,ES-14080,Erin Smith,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2.00,0.20,9.56,2016,November,0.1
